 Consensus.lineage	Kingdom	Phylum	Class	Order	Family	Genus	Taxonomy	Kingdom_r	Phylum_r	Class_r	Order_r	Family_r	Genus_r	Taxonomy_r	OTU_r	OTU
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.465219289064407	0.471649140119553	0.471649140119553	0.633629620075226	0.471649140119553	otu_3737
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__MethanomicrobialesOR;g__MethanomicrobialesOR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	MethanomicrobialesOR	MethanomicrobialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.465219289064407	0.461886256933212	0.461886256933212	0.633629620075226	0	otu_3860
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__MethanomicrobialesOR;g__MethanomicrobialesOR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	MethanomicrobialesOR	MethanomicrobialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.465219289064407	0.461886256933212	0.461886256933212	0.633629620075226	0	otu_2536
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__MethanomicrobialesOR;g__MethanomicrobialesOR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	MethanomicrobialesOR	MethanomicrobialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.465219289064407	0.461886256933212	0.461886256933212	0.633629620075226	0.498850584030151	otu_1243
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__MethanomicrobialesOR;g__MethanomicrobialesOR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	MethanomicrobialesOR	MethanomicrobialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.465219289064407	0.461886256933212	0.461886256933212	0.633629620075226	0.627393484115601	otu_589
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__MethanomicrobialesOR;g__MethanomicrobialesOR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	MethanomicrobialesOR	MethanomicrobialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.465219289064407	0.461886256933212	0.461886256933212	0.633629620075226	0.519052088260651	otu_6283
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__MethanomicrobialesOR;g__MethanomicrobialesOR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	MethanomicrobialesOR	MethanomicrobialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.465219289064407	0.461886256933212	0.461886256933212	0.633629620075226	0.59314888715744	otu_340
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__MethanomicrobialesOR;g__MethanomicrobialesOR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	MethanomicrobialesOR	MethanomicrobialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.465219289064407	0.461886256933212	0.461886256933212	0.633629620075226	0	otu_187
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__MethanomicrobialesOR;g__MethanomicrobialesOR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	MethanomicrobialesOR	MethanomicrobialesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.465219289064407	0.461886256933212	0.461886256933212	0.633629620075226	0.576983392238617	otu_2772
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.720812916755676	0.544441699981689	0.544441699981689	0.633629620075226	0.544441699981689	otu_545
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.720812916755676	0.487443208694458	0.485622376203537	0.633629620075226	0.488032609224319	otu_974
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.720812916755676	0.487443208694458	0.485622376203537	0.633629620075226	0	otu_4891
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__MethanosarcinaceaeFA	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	MethanosarcinaceaeFA	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.720812916755676	0.487443208694458	0	0.633629620075226	0	otu_6250
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__MethanosarcinalesOR;g__MethanosarcinalesOR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	MethanosarcinalesOR	MethanosarcinalesOR	Euryarchaeota	0.483766943216324	0.633629620075226	0.610560774803162	0.720812916755676	0.598785996437073	0.598785996437073	0.633629620075226	0.598785996437073	otu_406
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__MOB7-9;g__MOB7-9FA	Archaea	Euryarchaeota	Thermoplasmata	E2	MOB7-9	MOB7-9FA	Euryarchaeota	0.483766943216324	0.633629620075226	0.472662478685379	0.472662478685379	0	0	0.633629620075226	0.350486397743225	otu_4255
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__MOB7-9;g__MOB7-9FA	Archaea	Euryarchaeota	Thermoplasmata	E2	MOB7-9	MOB7-9FA	Euryarchaeota	0.483766943216324	0.633629620075226	0.472662478685379	0.472662478685379	0	0	0.633629620075226	0	otu_3654
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__pMC2A33;g__pMC2A33FA	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	pMC2A33FA	Euryarchaeota	0.483766943216324	0.633629620075226	0.472662478685379	0.472662478685379	0	0	0.633629620075226	0	otu_3607
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__pMC2A33;g__pMC2A33FA	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	pMC2A33FA	Euryarchaeota	0.483766943216324	0.633629620075226	0.472662478685379	0.472662478685379	0	0	0.633629620075226	0	otu_475
