"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"56"	"k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__JGI 0001001-H03"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"JGI 0001001-H03"	"Acidobacteriota"	-0.46	-0.5	0.1	-0.53	-0.53	-0.44	-0.5
"57"	"k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__DS-100;f__;g__"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"DS-100"	"DS-100OR"	"DS-100OR"	"Acidobacteriota"	-0.46	-0.5	0.1	-0.62	-0.62	-0.62	-0.5
"58"	"k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"Pyrinomonadales"	"Pyrinomonadaceae"	"RB41"	"Acidobacteriota"	-0.46	-0.5	0.1	0.44	0.44	0.44	-0.5
"59"	"k__Bacteria;p__Acidobacteriota;c__d142;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"d142"	"d142CL"	"d142CL"	"d142CL"	"Acidobacteriota"	-0.46	-0.5	-0.02	-0.02	-0.02	-0.02	-0.5
"60"	"k__Bacteria;p__Acidobacteriota;c__Holophagae;o__Acanthopleuribacterales;f__Acanthopleuribacteraceae;g__Acanthopleuribacter"	"Bacteria"	"Acidobacteriota"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"	"Acanthopleuribacter"	"Acidobacteriota"	-0.46	-0.5	-0.17	0	0	-0.03	-0.5
"61"	"k__Bacteria;p__Acidobacteriota;c__Holophagae;o__Acanthopleuribacterales;f__Acanthopleuribacteraceae;g__Thermotomaculum"	"Bacteria"	"Acidobacteriota"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"	"Thermotomaculum"	"Acidobacteriota"	-0.46	-0.5	-0.17	0	0	0.07	-0.5
"62"	"k__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix"	"Bacteria"	"Acidobacteriota"	"Holophagae"	"Holophagales"	"Holophagaceae"	"Geothrix"	"Acidobacteriota"	-0.46	-0.5	-0.17	0.04	0.04	-0.01	-0.5
"63"	"k__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__"	"Bacteria"	"Acidobacteriota"	"Holophagae"	"Holophagales"	"Holophagaceae"	"HolophagaceaeFA"	"Acidobacteriota"	-0.46	-0.5	-0.17	0.04	0.04	0.1	-0.5
"64"	"k__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup 7;f__;g__"	"Bacteria"	"Acidobacteriota"	"Holophagae"	"Subgroup 7"	"Subgroup 7OR"	"Subgroup 7OR"	"Acidobacteriota"	-0.46	-0.5	-0.17	-0.36	-0.36	-0.36	-0.5
"65"	"k__Bacteria;p__Acidobacteriota;c__ODP1230B23.02;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"ODP1230B23.02"	"ODP1230B23.02CL"	"ODP1230B23.02CL"	"ODP1230B23.02CL"	"Acidobacteriota"	-0.46	-0.5	-0.2	-0.2	-0.2	-0.2	-0.5
