"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"OTU"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"	"OTU_r"
"3156"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanolinea"	"Halobacterota"	"otu_3860"	0.482964558949783	0.671187878866376	0.465342733130407	0.465342733130407	0.444665634533241	0.598575759994731	0.671187878866376	0
"5375"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanolinea"	"Halobacterota"	"otu_589"	0.482964558949783	0.671187878866376	0.465342733130407	0.465342733130407	0.444665634533241	0.598575759994731	0.671187878866376	0.626175354219453
"965"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanoregula"	"Halobacterota"	"otu_187"	0.482964558949783	0.671187878866376	0.465342733130407	0.465342733130407	0.444665634533241	0.393880019412175	0.671187878866376	0
"2653"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanoregula"	"Halobacterota"	"otu_340"	0.482964558949783	0.671187878866376	0.465342733130407	0.465342733130407	0.444665634533241	0.393880019412175	0.671187878866376	0.594383902849506
"1961"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanospirillaceae"	"Methanospirillum"	"Halobacterota"	"otu_2772"	0.482964558949783	0.671187878866376	0.465342733130407	0.465342733130407	0.61307488966417	0.61307488966417	0.671187878866376	0.578717585689527
"5808"	"k__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanospirillaceae"	"Methanospirillum"	"Halobacterota"	"otu_6283"	0.482964558949783	0.671187878866376	0.465342733130407	0.465342733130407	0.61307488966417	0.61307488966417	0.671187878866376	0.519052108018936
"3374"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanoperedenaceae;g__Cand. Methanoperedens"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanoperedenaceae"	"Cand. Methanoperedens"	"Halobacterota"	"otu_406"	0.482964558949783	0.671187878866376	0.721491865005751	0.721491865005751	0.598785985323511	0	0.671187878866376	0.598785985323511
"4893"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae;g__Methanosaeta"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanosaetaceae"	"Methanosaeta"	"Halobacterota"	"otu_545"	0.482964558949783	0.671187878866376	0.721491865005751	0.721491865005751	0.548237779810999	0.548237779810999	0.671187878866376	0.548237779810999
"5773"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__ANME-3"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanosarcinaceae"	"ANME-3"	"Halobacterota"	"otu_6250"	0.482964558949783	0.671187878866376	0.721491865005751	0.721491865005751	0.487998721606387	0	0.671187878866376	0
"4282"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanosarcina"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanosarcinaceae"	"Methanosarcina"	"Halobacterota"	"otu_4891"	0.482964558949783	0.671187878866376	0.721491865005751	0.721491865005751	0.487998721606387	0.485159456317041	0.671187878866376	0
"6248"	"k__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanosarcina"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanosarcinaceae"	"Methanosarcina"	"Halobacterota"	"otu_974"	0.482964558949783	0.671187878866376	0.721491865005751	0.721491865005751	0.487998721606387	0.485159456317041	0.671187878866376	0.489421469394019
"2463"	"k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__;g__"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	"WoesearchaealesOR"	"WoesearchaealesOR"	"Nanoarchaeota"	"otu_3229"	0.482964558949783	-0.478470266768931	-0.478470266768931	-0.478470266768931	-0.494771452725439	-0.494771452725439	-0.478470266768931	-0.695621066250289
