Domain	Phylum	Class	Order	Family	Genus	Phylum_r	Class_r	Order_r	Family_r	Genus_r
Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	RubinisphaeraceaeFA	-0.2	-0.15	-0.18	-0.03	0.02
Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14	-0.2	-0.15	-0.18	-0.03	-0.11
Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Planctopirus	-0.2	-0.15	-0.18	0.2	0.2
Bacteria	Planctomycetota	Planctomycetes	PlanctomycetesCL	PlanctomycetesCL	PlanctomycetesCL	-0.2	-0.15	-0.29	-0.29	-0.29
Bacteria	Planctomycetota	vadinHA49	vadinHA49CL	vadinHA49CL	vadinHA49CL	-0.2	-0.15	-0.15	-0.15	-0.15
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	AcetobacteraceaeFA	-0.48	0.09	0.23	0.15	0.33
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	-0.48	0.09	0.23	0.15	0.05
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella	-0.48	0.09	0.23	0.15	0.04
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodopila	-0.48	0.09	0.23	0.15	0.12
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovastum	-0.48	0.09	0.23	0.15	0.21
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	-0.48	0.09	0.23	0.15	0.19
