"Sample"	"P01015"	"RecA"	"RpoB"	"amoA-AOA"	"amoA-AOB"	"AmoA-Ic"	"emoA"	"MOB-Ia"	"MOB-Ib"	"MOB-Ic"	"MOB-IIa"	"MOB-IIb"	"MOB-III"	"pxmA"	"p-amo-unk"	"NOB-nxr"	"NxrA-other"	"NxrB-other"	"HydA"	"DsrAB-red"	"DsrAB-ox"	"Dsr-AsrC"	"Dsr-2221"	"DsrA-ox"	"DsrA-red"	"DsrB-ox"	"DsrB-red"	"Dsr-no3so3"	"Dsr-unk"	"mcr-Ac"	"mcr-Ac-unk"	"mcr-H2"	"mcr-H2-unk"	"mcr-unk"
"1048022"	11	1156	272	7	1	1	0	0	0	0	0	0	0	0	0	22	381	694	167	782	726	87	885	362	411	364	371	562	313	0	0	0	1	0
"1048025"	6	1205	287	2	0	0	0	1	0	0	0	0	0	0	1	NA	174	269	436	345	547	83	393	281	189	266	156	377	221	0	0	1	0	0
"1048028"	7	1268	339	14	1	0	1	0	0	0	1	0	0	0	4	8	256	519	249	513	1093	85	685	622	242	471	271	443	312	NA	NA	NA	NA	NA
"1048031"	4	1257	300	5	1	0	0	0	0	0	0	0	0	1	1	17	303	556	190	778	933	84	833	492	410	441	368	555	386	NA	NA	NA	NA	NA
"1048034"	14	1309	347	17	1	0	5	1	0	0	0	0	0	0	3	23	381	619	183	824	963	88	988	504	397	459	427	584	417	0	0	0	0	1
"1048037"	109	882	291	0	0	0	0	4	1	0	8	0	0	11	0	2	168	254	2863	1753	377	76	1128	200	891	177	862	819	611	51	10	106	21	4
"1048040"	103	1110	271	0	0	0	5	2	0	0	3	0	0	3	0	3	285	458	1471	1465	409	66	842	209	724	200	741	725	495	51	8	194	29	11
"1048043"	55	1044	238	0	0	0	0	14	1	0	2	0	0	18	0	2	154	281	2189	1401	586	65	862	323	724	263	677	650	552	39	6	76	12	3
"1048046"	20	1293	326	29	9	0	8	5	1	0	2	0	1	12	19	78	281	592	548	848	533	78	789	275	415	258	433	443	375	3	0	4	0	0
"1048049"	24	1332	298	20	7	0	7	16	4	0	16	0	0	26	17	54	257	538	571	754	753	86	670	380	382	373	372	452	357	4	1	7	0	0
"1048052"	19	1061	198	13	10	0	2	8	0	0	10	0	0	11	14	39	156	455	543	586	469	74	537	239	289	230	297	337	257	6	1	6	0	0
"1048055"	13	1220	283	15	5	0	1	2	0	0	11	0	0	6	6	35	262	480	487	761	326	97	615	173	389	153	372	382	317	1	0	0	0	0
"1048058"	16	1139	235	26	14	0	13	2	2	0	8	0	1	3	20	82	196	420	274	180	177	102	412	90	94	87	86	366	146	1	0	0	0	0
"1048061"	16	1220	237	38	12	0	4	1	1	0	5	0	0	2	17	84	193	437	413	316	330	97	678	164	156	166	160	418	275	NA	NA	NA	NA	NA
"1048064"	24	974	249	2	2	0	3	7	5	0	0	0	0	19	4	31	268	504	1102	1309	580	77	615	276	662	304	647	493	418	0	0	2	0	0
"1048067"	37	840	256	3	11	0	3	16	1	0	2	0	0	21	11	23	213	370	890	1199	507	84	583	258	601	249	598	487	439	1	0	1	0	0
"1048070"	23	908	232	3	5	0	6	24	3	0	10	0	0	18	7	21	237	473	758	1187	382	60	671	210	594	172	593	458	391	2	0	4	0	0
"1048073"	16	993	234	0	3	0	4	4	1	0	5	0	0	16	7	23	240	459	796	952	354	87	586	187	490	167	462	444	375	1	3	3	1	0
"1048076"	27	1196	281	3	8	0	4	9	1	0	6	0	0	13	7	31	261	541	1206	1481	473	112	698	246	760	227	721	556	445	0	0	5	0	1
"1048079"	35	950	250	7	6	0	2	15	0	0	2	0	0	18	12	43	204	441	1010	1393	476	105	719	257	702	219	691	445	461	0	1	2	2	0
"1048085"	12	1115	229	17	7	1	5	3	2	0	15	0	0	15	23	122	228	534	105	117	410	82	469	211	60	199	57	300	153	2	1	4	0	0
"1048088"	12	1020	224	34	10	0	8	1	1	0	0	0	1	7	12	69	205	481	101	90	426	59	411	243	44	183	46	272	119	0	0	2	2	1
"1048091"	25	1126	256	49	11	0	11	0	1	0	7	0	1	13	27	140	184	502	100	196	402	64	517	222	92	180	104	282	116	2	0	6	1	0
"1048094"	27	1092	232	47	7	0	12	2	1	0	32	0	1	20	26	118	190	478	94	102	410	120	430	232	48	178	54	354	155	3	0	1	0	0
"1048097"	15	1126	195	27	8	0	13	1	5	1	26	0	2	19	24	107	255	560	269	448	601	84	761	292	240	309	208	404	440	2	0	3	2	1
"1048100"	26	1174	221	23	7	2	8	3	2	1	12	0	1	26	29	89	179	579	348	542	566	63	593	299	275	267	267	324	344	2	0	6	3	0
"1048103"	26	1238	262	27	6	1	8	7	14	0	25	1	1	30	27	101	246	602	375	710	649	101	688	333	349	316	361	380	408	2	2	5	2	3
"1048106"	29	1067	193	47	9	1	10	3	3	0	28	0	1	29	22	115	174	441	217	322	351	57	559	178	153	173	169	211	277	4	0	7	1	0
"1048109"	30	1093	218	25	6	0	4	5	0	0	0	0	0	0	7	19	172	493	274	1168	310	71	549	156	637	154	531	400	235	0	0	0	0	1
"1048112"	40	1200	292	35	16	0	1	1	0	0	1	0	0	2	10	26	224	535	360	1338	336	73	530	194	692	142	646	461	338	1	0	1	0	0
"1048115"	35	1152	253	13	4	0	5	0	0	0	0	0	1	3	1	13	217	490	355	1367	298	46	549	152	707	146	660	478	355	0	0	3	0	0
"1048118"	59	716	133	0	0	0	2	5	2	0	42	1	0	29	1	5	163	235	1140	443	406	63	474	252	224	154	219	450	300	28	13	113	42	17
"1048121"	137	1496	255	0	0	1	3	37	12	0	23	0	0	32	3	9	185	340	3423	883	707	66	911	390	448	317	435	651	568	42	20	153	49	10
"1048124"	112	1362	240	1	0	2	3	34	6	2	63	0	0	57	0	2	170	365	3126	893	460	120	960	225	417	235	476	638	590	41	16	203	53	17
"1048127"	80	887	184	1	0	6	7	23	5	0	70	0	0	56	1	7	150	274	1809	593	465	93	780	257	314	208	279	613	479	52	19	141	48	15
"1048130"	119	1143	237	1	0	0	3	5	3	0	2	0	0	9	1	3	88	157	2691	843	232	97	993	132	447	100	396	601	615	26	11	145	63	21
"1048133"	66	1483	254	0	2	5	7	66	16	4	98	0	0	90	1	8	257	449	2052	721	748	102	895	407	383	341	338	646	538	30	3	110	31	13
