"filename","file_id","JGI Grouping ID","directory/path","Short Organism Name","Genome/Metagenome Name","md5 checksum","file size"
"8642.1.107203.ACGATA.anqdp.fastq.gz","54bb8a3a0d8785565d473b94","IMG_AP-1048065","RushSE_CattailNL/Filtered_Raw_Data","RushSE_CattailNL","RushSE_CattailNLA_D2","57ad92514d52a96417b4da3592da36bf","5671929168"
"8642.1.107203.ACTCTC.anqdp.fastq.gz","54bb85d80d8785565d473b8a","IMG_AP-1048068","RushSE_CattailNL_2/Filtered_Raw_Data","RushSE_CattailNL_2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - RushSE_CattailNLB_D2","2f82ac24e5c293f7b3096761c8652c11","5084931486"
"8642.1.107203.AGAAGA.anqdp.fastq.gz","54bb85e20d8785565d473b8b","IMG_AP-1048071","RushSE_CattailNL_3/Filtered_Raw_Data","RushSE_CattailNL_3","RushSE_CattailNLC_D2","72b35ea63bfdafa362b0cb2f55da30f8","5001124211"
"8642.1.107203.AGATAG.anqdp.fastq.gz","54bb85eb0d8785565d473b8c","IMG_AP-1048074","RushSE_TuleA_D2/Filtered_Raw_Data","RushSE_TuleA_D2","RushSE_TuleA_D2","2db3af50a289553ed81a40b7d372e62f","4769877565"
"8642.1.107203.AGCATC.anqdp.fastq.gz","54bb8a480d8785565d473b95","IMG_AP-1048077","RushSE_TuleB_D2/Filtered_Raw_Data","RushSE_TuleB_D2","Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - RushSE_TuleB_D2","6a54863a2ecabdf069697cdb7f3efe73","6007900750"
"8642.1.107203.AGCGCT.anqdp.fastq.gz","54bb8a540d8785565d473b96","IMG_AP-1048080","RushSE_TuleC_D2/Filtered_Raw_Data","RushSE_TuleC_D2","RushSE_TuleC_D2","c10f7f9172656f6737058a13453c4681","5563440479"
"8642.1.107203.ATACGG.anqdp.fastq.gz","54bb8a630d8785565d473b97","IMG_AP-1048086","Sandmound_ThreeS/Filtered_Raw_Data","Sandmound_ThreeS","Sandmound_ThreeSqB_D1","a0df692bf0cde120080bb9e65a45ee92","5584748336"
"8642.1.107203.ATCCTA.anqdp.fastq.gz","54bb82e60d8785565d473b82","IMG_AP-1048089","Sandmound_ThreeS_2/Filtered_Raw_Data","Sandmound_ThreeS_2","Sandmound_ThreeSqC_D1","70b95fcef6f06c0c608258ce2095493f","4851218687"
"8642.1.107203.ATCTAT.anqdp.fastq.gz","54bb8a700d8785565d473b98","IMG_AP-1048092","Sandmound_ThreeS_3/Filtered_Raw_Data","Sandmound_ThreeS_3","Sandmound_ThreeSqA_D2","90006570c96471608d53bb8c2351f526","5193934366"
"8640.1.107179.GCAAGG.anqdp.fastq.gz","54bb6b2e0d8785565d473b57","IMG_AP-1048128","WestPond_TuleA_D/Filtered_Raw_Data","WestPond_TuleA_D","WestPond_TuleA_D2","eb4498119c9d8c0ea30b0ba6546f68e3","4655684295"
"8640.1.107179.GCACTT.anqdp.fastq.gz","54bb6ed50d8785565d473b6b","IMG_AP-1048131","WestPond_TuleB_D/Filtered_Raw_Data","WestPond_TuleB_D","Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_TuleB_D2","3f5486374c3927722c2aa91d128a1596","5489089509"
"8640.1.107179.GCCTTA.anqdp.fastq.gz","54bb75110d8785565d473b76","IMG_AP-1048134","WestPond_TuleC_D/Filtered_Raw_Data","WestPond_TuleC_D","WestPond_TuleC_D2","ae58faf71bbf74bea4d450fdf4c5ad95","6436921068"
"8640.1.107179.GCTCCA.anqdp.fastq.gz","54bb6b360d8785565d473b58","IMG_AP-1048137","White_CordA_D2/Filtered_Raw_Data","White_CordA_D2","White_CordA_D2","ba369d7b95e41110fd1929d1ebaadd81","5528288928"
"8640.1.107179.GGCACA.anqdp.fastq.gz","54bb66ce0d8785565d473b4f","IMG_AP-1048140","White_CordB_D2/Filtered_Raw_Data","White_CordB_D2","White_CordB_D2","67b3c8288515aecb8356940c77bf9327","4236502475"
"8640.1.107179.TGAATG.anqdp.fastq.gz","54bb6b3f0d8785565d473b59","IMG_AP-1048146","White_ThreeSqA_D/Filtered_Raw_Data","White_ThreeSqA_D","White_ThreeSqA_D1","321b0b55266494990b77b458b2b9e621","4844500454"
"8640.1.107179.TGCCAT.anqdp.fastq.gz","54bb6b480d8785565d473b5a","IMG_AP-1048149","White_ThreeSqB_D/Filtered_Raw_Data","White_ThreeSqB_D","Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - White_ThreeSqB_D1","30895fd9045d005a996fc51f4aa94ed9","5405730703"
"8640.1.107179.TGCTGG.anqdp.fastq.gz","54bb6b500d8785565d473b5b","IMG_AP-1048152","White_ThreeSqC_D/Filtered_Raw_Data","White_ThreeSqC_D","Wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - White_ThreeSqC_D1","a92fff14e423d25e3f1d6811ff40abe1","4900275738"
"8640.1.107179.TGGCGC.anqdp.fastq.gz","54bb6f1d0d8785565d473b6c","IMG_AP-1048155","White_ThreeSqA_D_2/Filtered_Raw_Data","White_ThreeSqA_D_2","White_ThreeSqA_D2","4144a59b549e7d76ce9a5ad4cd2ca553","5947448297"
"8640.1.107179.TTCGAA.anqdp.fastq.gz","54bb6b570d8785565d473b5c","IMG_AP-1048158","White_ThreeSqB_D_2/Filtered_Raw_Data","White_ThreeSqB_D_2","White_ThreeSqB_D2","55a2fa1844f82f808d80c041e20b3fce","4666589898"
"8643.1.107167.GATATA.anqdp.fastq.gz","54bb74fd0d8785565d473b74","IMG_AP-1064058","WesMetDrversion2_2/Filtered_Raw_Data","WesMetDrversion2_2","WestPond_CattailB_D2","e6ef9bfdf5a2bdfbbd7c6a2a059c2a2d","7531906754"
"9260.6.126935.TCGGCA.anqdp.fastq.gz","55a9a45c0d87852b215087e5","IMG_AP-1072407","MayberryNE_Catta_6/Filtered_Raw_Data","MayberryNE_Catta_6","MayberryNE_CattailC_D2","10a6823595f1594b04a11509a0996641","3409889538"
"8571.1.104353.TGACCA.anqdp.fastq.gz","54b842a20d8785565d472910","IMG_AP-1064047","BroMetDrversion2/Filtered_Raw_Data","BroMetDrversion2","Browns_ThreeSqC_D1","8cf1ca955cf4c333eda44fa71c62b3fd","6029326454"
